,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
84,FLAT,global_load_dword,v7,v[5:6],off,,,10020,4,4,0,0,0,2,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
85,FLAT,global_load_dword,v8,v[3:4],off,,,10024,4,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
86,VALU,v_mov_b32_e32,v4,s3,,,,10028,6,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
87,VALU,v_mov_b32_e32,v5,s11,,,,10032,6,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
88,VALU,v_add_co_u32_e32,v3,vcc,s2,v1,,10036,6,4,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
89,VALU,v_add_co_u32_e64,v1,s[0:1],s10,v1,,10044,6,4,0,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
90,VALU,v_add_u32_e32,v0,s6,v0,,,10048,6,4,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
91,VALU,v_addc_co_u32_e32,v4,vcc,v4,v2,vcc,10056,6,4,16,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
92,SALU,s_or_b64,s[12:13],vcc,s[12:13],,,10080,2,8,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
93,IMMED,s_waitcnt,vmcnt(0),,,,,10084,9,0,448,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
